IDENT	Somm	Repo	Reps	Repr	Trar	Ména	Visi	Jard	Lois	Disq	Lect	Cour	Prom	Api	Voit	Fréq
1111	463.8	23.8	107.3	4.8	300	21.3	51	82.3	10	1.2	0	41.3	6.9	7.1	52.1	135.8
1115	515.6	58.5	102.7	10.4	208.8	41.9	30	32.9	2.1	4.6	0.6	33.7	8.3	24.6	29.4	225.8
1121	463.3	34.2	84.8	17.1	298.3	18.1	37.8	55.8	18.4	5.9	2.6	30.7	5.9	8.8	56.7	135.8
1122	456.4	43.1	74.2	21.9	239	26	51.2	59.7	18.4	3.6	4.6	52.2	9.5	10.8	72.7	142.3
1123	478	44.2	76.7	15.2	212.3	22.3	42	43.7	18.4	2.3	6.4	48.3	14.7	15.5	72.8	167.7
1124	465.1	41.6	85.2	23.7	226	37	42.5	16.3	10.7	8.7	9.4	44.3	13.7	19.8	59	145.1
1136	458.4	47.4	94.7	15.1	314.3	25.3	39.1	42.4	16.9	0.9	16.7	34.5	4.6	6.4	61.5	103.4
1133	457.2	30.7	82	26.2	269.8	52.1	37.6	35.6	25.6	6	8	42.8	10.4	12	81.4	107.6
1134	465.2	40.2	78.6	31.1	268.6	36.3	21.6	4	19.4	6	14.8	46.9	10.7	21.9	48.3	82.4
2111	449	42.1	86.2	7.9	312.5	15.1	16.1	112.9	15.4	0	2.2	32.1	7.6	8.1	60.1	153.9
2112	450.2	63.1	86.7	9.8	249.6	40.4	55.6	83.3	3	2.2	0	45	9.4	10.4	61.9	145.4
2117	455.2	47.4	95.6	9	250.8	30.4	13.5	57.3	7.9	2.9	7	52.2	15.1	15.7	49.1	194.8
2121	461.9	39.3	90.3	8.5	323.5	14.9	21.7	81.8	15.4	1.2	5.3	26	3.8	7.4	59.6	130.8
2122	453.7	44.7	97.5	18.7	269	23.1	39.6	93.5	3.1	3.4	12.1	42	12.1	10.6	62.4	129.1
2123	433.1	49.8	91.7	12.6	283.7	22.4	21	62.9	13.1	6.2	7.3	38.1	11.6	11.7	47.6	168.6
2124	438.3	32.8	102.3	11.1	338.3	28	6.5	64.8	13.8	1.4	19.8	34.9	7.4	14.1	53.2	130.5
2131	457.7	44	87.9	6.9	313	24.4	23.2	63.8	9.2	0.6	11.8	30	7.3	7.5	69.7	108.3
2132	455	47	78.9	31.6	380.6	23.9	7.5	40	13	0	10.3	23.3	1.4	9.4	59.4	100
2133	467.3	37.5	86.9	21.9	264	40.8	27.6	33.4	11.9	1.6	10.8	45.3	6.7	10.7	72.8	135.2
2134	433.5	35.6	76.1	17.1	355	34.1	13.4	31.7	12.6	3.2	13.2	37.5	8.5	22.3	57.5	96.5
3116	473	51.5	99.3	6.3	356.3	21.2	27.6	82.1	8.6	0	1.5	35.7	13.4	7.1	40.6	107.7
3117	461.9	60	103.7	9.1	240.5	35.3	14.5	83.4	1.4	2	7.4	46.1	5.7	16.6	53.3	183.7
3121	453.4	45.6	86.2	7.8	358.7	12.9	18.5	54.4	4.2	0	4.9	34.3	3.3	10.3	48.7	143.1
3122	485.1	53.5	86	0.3	222.4	24.7	23.2	91.9	8.5	0	3.7	52.9	7.1	9.9	75.3	166.3
3123	456.7	43.2	94.6	12.1	265.3	30.5	23.7	61.1	9.1	2.3	11.6	50.1	17.6	13.2	46.3	185.3
3136	444.2	53.6	90.7	7.2	302.4	31.7	16.4	97.6	4.7	2.4	4.3	38.8	13.6	11.4	61.8	127.2
3137	438.4	50.7	81	11.2	306.6	19.3	23.8	10.5	13.6	0	18.4	67.6	8.3	18.6	63.1	143.3
